From Dowsett (1986),From Bowie (2003),Exclude,Order,Genus,Superspecies,Species,Group,Subspecies,Upper Guinea Highlands,Bioko,Mt. Cameroon,Cameroon Highlands,Bamenda & Adamawa,Monte Alen,Lendu,West Rift,Rwenzori,East Rift,Kabobo,Marungu,Mahale,North Somali Mtns,Djibouti,West Ethiopia,East Ethiopia,S Eth-N Ken,Imatong,Elgon,West Kenya,Kenya-Aberdare,Ngorongoro,Meru,Kilimanjaro,Taita,Pare,Usambara,Nguu,Nguru,Ukaguru,Rubeho,Uluguru,Udzungwa,Southern Highlands,Nyika,Kaningina,Dedza-Salima,Zomba,Thyolo,Mulanje,Namuli,Gorongosa,Chimanimani,N Drakensberg,S Drakensberg,Cape Fold Mountains,Central African Plateau (Zambia),Angola,Rondo Plateau,Mayombe
Yes,Yes,,564,Sheppardia,bocagei,bocagei,bocagei,bocagei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Yes,Yes,,565,Sheppardia,bocagei,bocagei,bocagei,chapini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Yes,Yes,,566,Sheppardia,bocagei,bocagei,bocagei,ilyai,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,567,Sheppardia,bocagei,bocagei,bocagei,kaboboensis,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,568,Sheppardia,bocagei,bocagei,bocagei,kungwensis,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,569,Sheppardia,bocagei,bocagei,bocagei,schoutedeni,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,570,Sheppardia,bocagei,bocagei,granti,granti,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,571,Sheppardia,bocagei,bocagei,poensis,poensis,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,572,Sheppardia,aequatorialis,aequatorialis,aequatorialis,acholiensis,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,573,Sheppardia,aequatorialis,aequatorialis,aequatorialis,aequatorialis,,,,,,,1,1,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,574,Sheppardia,sharpei,sharpei,sharpei,sharpei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,
Yes,Yes,,575,Sheppardia,sharpei,sharpei,sharpei,usambarae,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
,Yes,,576,Sheppardia,gunningi,gunningi,alticola,alticola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,Yes,,577,Sheppardia,gunningi,gunningi,bensoni,bensoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,Yes,Exclude,578,Sheppardia,gunningi,gunningi,gunningi,gunningi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,579,Sheppardia,gunningi,gunningi,sokokensis,sokokensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,580,Sheppardia,gabela,gabela,gabela,gabela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Yes,Yes,,581,Sheppardia,lowei,lowei,lowei,lowei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Yes,Yes,,582,Sheppardia,lowei,aurantiithorax,aurantiithorax,aurantiithorax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Yes,Yes,,583,Sheppardia,lowei,montana,montana,montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,584,Monticola,rufocinereus,rufocinereus,rufocinereus,rufocinereus,,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Exclude,585,Monticola,rufocinereus,rufocinereus,rufocinereus,sclateri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,586,Monticola,explorator,explorator,explorator,explorator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
Yes,Yes,Exclude,587,Monticola,explorator,explorator,explorator,tenebriformes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,588,Monticola,rupestris,rupestris,rupestris,rupestris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
,,,589,Saxicola,torquatus,torquatus,albofasciatus,albofasciatus,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Exclude,590,Saxicola,torquatus,torquatus,sibilla,sibilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,591,Saxicola,torquatus,torquatus,torquatus,adamauae,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,592,Saxicola,torquatus,torquatus,torquatus,axillaris,,,,,,,,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,593,Saxicola,torquatus,torquatus,torquatus,clanceyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,Exclude,594,Saxicola,torquatus,torquatus,torquatus,felix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
